Latin Paragraph	English Paragraph (Manual)
Cap. 12. De utilitate adversitatis.	CHAPTER XII Of the uses of adversity
1. Bonum nobis est, quod aliquando habeamus aliquas gravitates et contrarietates, quia sæpe hominem ad cor revocant, quatenus se in exilio esse cognoscat, nec spem suam in aliqua mundi re ponat. Bonum est quod patiamur quandoque contradictiones, et male et imperfecte de nobis sentiatur, etiamsi bene agimus, et intendimus. Ista sæpe juvant ad humilitatem, et a vana gloria nos defendunt. Tunc enim melius interiorem testem Deum quærimus, quando foris vilipendimur ab hominibus, et non bene de nobis creditur.	1. It is good for us that we sometimes have sorrows and adversities, for they often make a man lay to heart that he is only a stranger and sojourner, and may not put his trust in any worldly thing. It is good that we sometimes endure contradictions, and are hardly and unfairly judged, when we do and mean what is good. For these things help us to be humble, and shield us from vain-glory. For then we seek the more earnestly the witness of God, when men speak evil of us falsely, and give us no credit for good.
2. Ideo deberet se homo totaliter firmare, et non esset ei necesse multas consolationes quærere. Quando homo bonæ voluntatis tribulatur vel tentatur aut malis cogitationibus affligitur, tunc Deum magis sibi necessarium intelligit, sine quo nihil omnino se posse testatur. Gemit et orat pro miseriis quas patitur. Tunc tædet eum diutius vivere, mortem optat venire, utpossit dissolvi, et esse cum Christi.Tunc etiam bene advertit securitatem et plenam pacem in mundo non posse stare.	2. Therefore ought a man to rest wholly upon God, so that he needeth not seek much comfort at the hand of men. When a man who feareth God is afflicted or tried or oppressed with evil thoughts, then he seeth that God is the more necessary unto him, since without God he can do no good thing. Then he is heavy of heart, he groaneth, he crieth out for the very disquietness of his heart. Then he groweth weary of life, and would fain depart and be with Christ. By all this he is taught that in the world there can be no perfect security or fulness of peace.
Cap. 13. De resistendis tentationibus.	CHAPTER XIII Of resisting temptation
1. Quamdiu in mundo vivimus sine tribulatione et tentatione esse non possumus. Unde in Job scriptum est:Tentatio est vita hominis super terram.Ideo unusquisque sollicitus esse deberet circa tentationes suas, et vigilare in orationibus, ne Diabolus inveniret locum decipiendi, qui nunquam dormitat, sedcircuit quærens quem devoret.Nemo tam sanctus et perfectus est, qui non habeat aliquando tentationes, et plene eis carere non possimus.	1. So long as we live in the world, we cannot be without trouble and trial. Wherefore it is written in Job, The life of man upon the earth is a trial. And therefore ought each of us to give heed concerning trials and temptations, and watch unto prayer, lest the devil find occasion to deceive; for he never sleepeth, but goeth about seeking whom he may devour. No man is so perfect in holiness that he hath never temptations, nor can we ever be wholly free from them.
2. Sunt tamen tentationes hominibus valde utiles, licet molestæ sint et graves, quia in his homo humiliatur, purgatur et eruditur. Omnes Sancti per multas tribulationes et tentationes transierunt et profecerunt, et qui tentationes sustinere nequiverunt, reprobi facti sunt, et defecerunt. Non est aliquis ordo tam sanctus, et locus tam secretus, ubi non sint tentationes et adversitates.	2. Yet, notwithstanding, temptations turn greatly unto our profit, even though they be great and hard to bear; for through them we are humbled, purified, instructed. All Saints have passed through much tribulation and temptation, and have profited thereby. And they who endured not temptation became reprobate and fell away. There is no position so sacred, no place so secret, that it is without temptations and adversities.
3. Non est homo securus a tentationibus totaliter, quam diu vixerit, quia in nobis est unde tentamur. Ex quo in concupiscentia nati sumus, una tribulatione vel tentatione recedene alia supervenit, et semper aliquid ad patiendum habemus. Nam bonum felicitatis perdidimus. Multi quærunt tentationes fugere, et gravius incidunt in eas. Per solam fugam non possumus vincere, sed per patientiam et veram humilitatem, omnibus hositbus efficimur fortiores.	3. There is no man wholly free from temptations so long as he liveth, because we have the root of temptation within ourselves, in that we are born in concupiscence. One temptation or sorrow passeth, and another cometh; and always we shall have somewhat to suffer, for we have fallen from perfect happiness. Many who seek to fly from temptations fall yet more deeply into them. By flight alone we cannot overcome, but by endurance and true humility we are made stronger than all our enemies.
4. Qui tantummodo exterius declinat, nec radicem evellit, parum proficiet, imo citius ad eum tentationes redient, et pejus sævient. Paulatim, et per patientiam cum longanimitate Deo juvante melius superabis, quam cum duritia et importunitate propria. Sæpe accipe consilium in tentatione, et cum tentato noli duriter agere, sed consolationes ingere, sicut tibi optares fieri.	4. He who only resisteth outwardly and pulleth not up by the root, shall profit little; nay, rather temptations will return to him the more quickly, and will be the more terrible. Little by little, through patience and long-suffering, thou shalt conquer by the help of God, rather than by violence and thine own strength of will. In the midst of temptation often seek counsel; and deal not hardly with one who is tempted, but comfort and strengthen him as thou wouldest have done unto thyself.
5. Initium omnium malarum tentationum inconstantia animi est, et parva ad Deum confidentia, quia sicut navis sine gubernaculo hinc inde a fluctibus impellitur, ita homo remissus, et suum propositum deferens varie tentatur. Ignis probat ferrum, et tentatio hominem justum. Nescimus sæpe quid possumus, sed tentatio aperit quid sumus. Vigilandum tum præcipue circa initium tentationis, quia tunc facilius hostis vincitur, si ostium mentis nullatenus intrare finitur, sed extra limen statim ut pulsaverit illi obviatur. Unde quidam dixit,Principiis obsta, sero medicina paratur.Nam primo occurrit menti simplex cogitatio, deinde fortis imaginatio, postea delectatio, et motus pravus, et assensio, sicque paulatim hostis malignus ex toto ingreditur, dum illi non resistitur in pricipio. Et quanto diutius ad resistendum quis torpuerit, tanto in se quotidie debilior fit, et hostis contra eum potentior.	5. The beginning of all temptations to evil is instability of temper and want of trust in God; for even as a ship without a helm is tossed about by the waves, so is a man who is careless and infirm of purpose tempted, now on this side, now on that. As fire testeth iron, so doth temptation the upright man. Oftentimes we know not what strength we have; but temptation revealeth to us what we are. Nevertheless, we must watch, especially in the beginnings of temptation; for then is the foe the more easily mastered, when he is not suffered to enter within the mind, but is met outside the door as soon as he hath knocked. Wherefore one saith, Check the beginnings; once thou might’st have cured, But now ’tis past thy skill, too long hath it endured. For first cometh to the mind the simple suggestion, then the strong imagination, afterwards pleasure, evil affection, assent. And so little by little the enemy entereth in altogether, because he was not resisted at the beginning. And the longer a man delayeth his resistance, the weaker he groweth, and the stronger groweth the enemy against him.
6. Quidam in principio conversionis suæ graviores tentationes patiuntur, quidam in fine, quidam quasi per totam vitam suam male habent. Nonnulli fatis leviter tentantur, secundum divinæ ordinationis sapientiam et æquitatem, quæ statum, et hominum merita pensat, et cuncta ad electorum suorum salutem præordinat.	6. Some men suffer their most grievous temptations in the beginning of their conversion, some at the end. Some are sorely tried their whole life long. Some there are who are tempted but lightly, according to the wisdom and justice of the ordering of God, who knoweth the character and circumstances of men, and ordereth all things for the welfare of His elect.
7. Ideo non debemus desperare, cum tentamur, sed eo ferventius Deum exorare, quatenus dignetur in omni tribulatione nostra nos adjuvare, qui utique, secundum dictum S. Pauli,etiam faciet cum tentatione proventum, ut possimus sustinere.Humiliemus ergo animas nostras sub manu Dei in omni tentatione et tribulatione, quia humiles spiritu salvabit, et exultabit.	7. Therefore we ought not to despair when we are tempted, but the more fervently should cry unto God, that He will vouchsafe to help us in all our tribulation; and that He will, as St. Paul saith, with the temptation make a way to escape that we may be able to bear it. Let us therefore humble ourselves under the mighty hand of God in all temptation and trouble, for He will save and exalt such as are of an humble spirit.
8. In tentationibus et tribulationibus probatur homo quantum profecit, et ibi majus meritum existit, et virtus melius patescit. Nec magnum est, si homo devotus fit, et fervidus, cum gravitatem non sentit, sed si tempore adversitatis patienter se sustinet, spes magni profectus erit. Quidam a magnis tentationibus custodiuntur, et in quotidianis tam sæpe vincuntur, ut humiliati, nunquam de se ipsis in magnis confidant, qui in tam modicis infirmantur.	8. In temptations and troubles a man is proved, what progress he hath made, and therein is his reward the greater, and his virtue doth the more appear. Nor is it a great thing if a man be devout and zealous so long as he suffereth no affliction; but if he behave himself patiently in the time of adversity, then is there hope of great progress. Some are kept safe from great temptations, but are overtaken in those which are little and common, that the humiliation may teach them not to trust to themselves in great things, being weak in small things.
Cap. 14. De temerario judicio vitando.	CHAPTER XIV On avoiding rash judgment
1. Ad te ipsum oculos reflecte et aliorum facta caveas judicare. In judicando alios homo frustra laborat, sæpius errat, et leviter peccat. Se ipsum vero judicando et discutiendo semper fructuose laborat. Sicut nobis res cordi est, sic de ea frequenter judicamus. Nam verum judicium propter privatum amorem faciliter perdimus. Si Deus semper esset pura intentio desiderii nostri, non tam faciliter turbaremur pro resistentia sensus nostri.	1. Look well unto thyself, and beware that thou judge not the doings of others. In judging others a man laboureth in vain; he often erreth, and easily falleth into sin; but in judging and examining himself he always laboureth to good purpose. According as a matter toucheth our fancy, so oftentimes do we judge of it; for easily do we fail of true judgment because of our own personal feeling. If God were always the sole object of our desire, we should the less easily be troubled by the erring judgment of our fancy.
2. Sed semper aliquid ab intra latet, vel etaim ab extra concurrit, quod nos etiam pariter trahit. Multi occulte se ipsos quærunt in rebus, quas agunt, et nesciunt. Videntur etiam in bona pace stare, quum res pro eorum velle fiunt. Propter diversitatem sensuum, et opinionum satis frequenter oriuntur diffensiones inter amicos et cives, inter religiosos et devotos.	2. But often some secret thought lurking within us, or even some outward circumstance, turneth us aside. Many are secretly seeking their own ends in what they do, yet know it not. They seem to live in good peace of mind so long as things go well with them, and according to their desires, but if their desires be frustrated and broken, immediately they are shaken and displeased. Diversity of feelings and opinions very often brings about dissensions between friends, between countrymen, between religious and godly men.
3. Antiqua consuetudo difficulter relinquitur et ultra proprium videre nemo libenter ducitur. Si rationi tuæ magis inniteris vel industriæ, quam virtuti subjectivæ Jesu Christi, raro et trade eris homo illuminatus, quia Deus vult nos sibi perfecte subjicii, et omnem rationem per inflammatum amorem transcendere.	3. Established custom is not easily relinquished, and no man is very easily led to see with the eyes of another. If thou rest more upon thy own reason or experience than upon the power of Jesus Christ, thy light shall come slowly and hardly; for God willeth us to be perfectly subject unto Himself, and all our reason to be exalted by abundant love towards Him.
Cap. 15. De operibus ex charitate factis.	CHAPTER XV Of works of charity
1. Pro nulla re mundi, et pro nullius hominis dilectione aliquod malum est faciendum.  Sed pro utilitate indigentis bonum opus aliquando intermittendum aut quandoque pro meliori mutandum. Hoc nam facto opus bonum non destruitur, sed in melius commutatur. Sine charitate opus externum non prodest quemquam. Quicquid autem ex charitate agitur quantumcumque etiam parvum sit, et despectum totum efficitur fructuosum. Magis si quidem Deus pensat ex quanto quis agit, quam quantum quis facit.	1. For no worldly good whatsoever, and for the love of no man, must anything be done which is evil, but for the help of the suffering a good work must sometimes be postponed, or be changed for a better; for herein a good work is not destroyed, but improved. Without charity no work profiteth, but whatsoever is done in charity, however small and of no reputation it be, bringeth forth good fruit; for God verily considereth what a man is able to do, more than the greatness of what he doth.
2. Multum quis facit, qui multum diligit. Multum facit qui rem bene facit. Bene facit, qui magis communitati, quam suæ voluntati fervit. Sæpe videtur esse charitas, et est magis carnalitas, quia carnalis inclinatio, propria voluntas, spes retributionis, affectus voluntatis raro abesse volunt.	2. He doth much who loveth much. He doth much who doth well. He doth well who ministereth to the public good rather than to his own. Oftentimes that seemeth to be charity which is rather carnality, because it springeth from natural inclination, self-will, hope of repayment, desire of gain. 
3. Qui veram et perfectam charitatem habet, in nulla re se ipsum quærit, sed Dei solummodo gloriam in omnibus fieri desiderat. Nulli etiam invidet, quia nullum privatum gaudium amat, nec in se ipso vult gaudere, sed in Deo super omnia optat bona beatificari. Nemini aliquid boni attribuit, sed totaliter ad Deum refert tota, unde omnia procedunt. In quo finaliter omnes Sancti fruibiliter quiescunt. O qui scintillam haberet veræ charitatis, perfecte omnia terrena sentiret plena vanitatis.	3. He who hath true and perfect charity, in no wise seeketh his own good, but desireth that God alone be altogether glorified. He envieth none, because he longeth for no selfish joy; nor doth he desire to rejoice in himself, but longeth to be blessed in God as the highest good. He ascribeth good to none save to God only, the Fountain whence all good proceedeth, and the End, the Peace, the joy of all Saints. Oh, he who hath but a spark of true charity, hath verily learned that all worldly things are full of vanity. 
Cap. 16. De sufferentia defectuum aliorum.	CHAPTER XVI Of bearing with the faults of others
1. Quæ rarissime homo in se vel in aliis emendare non valet, debet patienter sustinere, donec Deus aliter ordinet. Cogita quod sic forte melius est pro tua probatione et patientia, sine qua non sunt multum ponderanda merita nostra. Debes tamen pro talibus impedimentis supplicare, ut tibi dignetur Deus subvenire, ut possis benigne portare.	1. Those things which a man cannot amend in himself or in others, he ought patiently to bear, until God shall otherwise ordain. Bethink thee that perhaps it is better for thy trial and patience, without which our merits are but little worth. Nevertheless thou oughtest, when thou findeth such impediments, to beseech God that He would vouchsafe to sustain thee, that thou be able to bear them with a good will.
2. Si quis semel vel bis admonitus non acquiescit, noli cum eo contendere, sed totum Deo committe, ut fiat voluntas sua, et honor in omnibus servis suis, qui scit bene, malum in bonum convertere. Stude patiens esse in tolerando aliorum defectus, et qualescumque infirmitates, quia et tu multa habes, quæ ab aliis oportet tolerari. Si non potes te talem facere qualem vis, quomodo poteris alium habere ad beneplacitum tuum? Libenter videmus alios perfectos, sed tamen proprios non emendamus defectus.	2. If one who is once or twice admonished refuse to hearken, strive not with him, but commit all to God, that His will may be done and His honour be shown in His servants, for He knoweth well how to convert the evil unto good. Endeavour to be patient in bearing with other men’s faults and infirmities whatsoever they be, for thou thyself also hast many things which have need to be borne with by others. If thou canst not make thine own self what thou desireth, how shalt thou be able to fashion another to thine own liking. We are ready to see others made perfect, and yet we do not amend our own shortcomings.
3. Volumus quod alii districte corrigantur, et nos ipsi corrigi nolumus, aut negari quod petimus. Alios restringi per statuta volumus, et ipsi nullatenus patimur amplius cohiberi. Sic ergo patet, quam raro proximum, sicut nos ipsos pensamus. Si omnes essent perfecti quid tunc haberemus ab aliis pro Deo pati?	3. We will that others be straitly corrected, but we will not be corrected ourselves. The freedom of others displeaseth us, but we are dissatisfied that our own wishes shall be denied us. We desire rules to be made restraining others, but by no means will we suffer ourselves to be restrained. Thus therefore doth it plainly appear how seldom we weigh our neighbour in the same balance with ourselves. If all men were perfect, what then should we have to suffer from others for God?
4. Nunc autem Deus sic ordinavit, ut discamusalter alterius onera portare,quia nemo sine defectu, nemo sine onere, nemo sibi sufficiens, nemo sibi satis sapiens, sed oportet invicem portare, invicem consolari, pariter adjuvare, et ammonere. Quantas autem virtutes quisque fecerit, melius patet occasione adversitatis. Occasiones namque hominem fragilem non faciunt, sed qualis sit, ostendunt.	4. But now hath God thus ordained, that we may learn to bear one another’s burdens, because none is without defect, none without a burden, none sufficient of himself, none wise enough of himself; but it behoveth us to bear with one another, to comfort one another, to help, instruct, admonish one another. How much strength each man hath is best proved by occasions of adversity: for such occasions do not make a man frail, but show of what temper he is.
Cap. 17. De monastica vita.	CHAPTER XVII Of a Religious life
1. Oportet ut discas te ipsum in multis frangere, si vis pacem et concordiam cum aliis tenere. Non est parvum in monasteriis, vel in congregatione habitare, et in illis sine querela conversari, et usque ad mortem fidelis perseverare. Beatus qui ibidem bene visit, et feliciter consummavit. Si vis debite stare et proficere, teneas te tanquam exulem et peregrinum super terram. Oportet te stultum fieri propter Christum, si vis religiosam ducere vitam.	1. It behoveth thee to learn to mortify thyself in many things, if thou wilt live in amity and concord with other men. It is no small thing to dwell in a religious community or congregation, and to live there without complaint, and therein to remain faithful even unto death. Blessed is he who hath lived a good life in such a body, and brought it to a happy end. If thou wilt stand fast and wilt profit as thou oughtest, hold thyself as an exile and a pilgrim upon the earth. Thou wilt have to be counted as a fool for Christ, if thou wilt lead a religious life.
2. Habitus et tonsura modicum faciunt, sed mutatio morum et integra mortificatio passionem verum faciunt religiosum. Qui aliud quærit, quam pure Deum, et animæ suæ salutem, non inveniet nisi tribulationem et dolorem. Non potest etiam diu stare pacificus, qui non nititur esse minimus, et omnibus subjectus. Ad serviendum venisti, non ad regendum, ad paciendum et laborandum scias te vocatum, non ad otiandum, vel fabulandum. Hic ergo probantur homines sicut aurum in fornace. Hic nemo potest stare nisi ex toto corde si voluerit propter Deum humiliare.	2. The clothing and outward appearance are of small account; it is change of character and entire mortification of the affections which make a truly religious man. He who seeketh aught save God and the health of his soul, shall find only tribulation and sorrow. Nor can he stand long in peace, who striveth not to be least of all and servant of all. 3. Thou art called to endure and to labour, not to a life of ease and trifling talk. Here therefore are men tried as gold in the furnace. No man can stand, unless with all his heart he will humble himself for God’s sake. 
Cap. 18. De exemplo Sanctorum Patrum.	CHAPTER XVIII Of the example of the holy fathers 
1. Intuere Sanctorum Patrum vivida exempla, in quibus vera perfectio fulsit, et videbis quam modicum sit, et vere nihil, quod nos agimus. Heu quid est vita nostra, si illis fuerit comparata. Sancti et amici Christi Domino servierunt in fame et siti, in frigore et nuditate, in labore et fatigatine, in vigiliis et jejuniis, in orationibus et sanctis meditationibus, in persecutionibus et opprobriis multis.	1. Consider now the lively examples of the holy fathers, in whom shone forth real perfectness and religion, and thou shalt see how little, even as nothing, is all that we do. Ah! What is our life when compared to theirs? They, saints and friends of Christ as they were, served the Lord in hunger and thirst, in cold and nakedness, in labour and weariness, in watchings and fastings, in prayer and holy meditations, in persecutions and much rebuke.
2. O quam multas, et graves tribulationes passi sunt Apostoli, Martyres et Confessores, Virginies et reliqui omnes, qui Christi vestigia voluerunt sequi. Nam animas suas in hoc mundo oderunt, ut in vitam æternam eas possiderent. O quam strictam et abdicatam vitam sancti Patres in eremo duxerunt, quam longas, et graves tentationes pertulerunt: quam frequenter ab inimico vexati sunt, quam graves, et fervidas orationes Deo obtulerunt, quam rigidas abstinentias peregerunt, quam magnum zelum, et fervorem ad spiritualem profectum habuerunt, quam forte bellum adversus edomationem vitiorum gesserunt, quam puram, et rectam intentionem ad Deum tenuerunt, per diem laborabant, et noctibus orationi diutinæ vacabant: quamquam laborando ab oratione mentali minime cessarent.	2. O how many and grievous tribulations did the Apostles, Martyrs, Confessors, Virgins, endure; and all others who would walk in the footsteps of Christ. For they hated their souls in this world that they might keep them unto life eternal. O how strict and retired a life was that of the holy fathers who dwelt in the desert! what long and grievous temptations they did suffer! how often were they assaulted by the enemy! what frequent and fervid prayers did they offer unto God! what strict fasts did they endure! what fervent zeal and desire after spiritual profit did they manifest! how bravely did they fight that their vices might not gain the mastery! how entirely and steadfastly did they reach after God! By day they laboured, and at night they gave themselves ofttimes unto prayer; yea, even when they were labouring they ceased not from mental prayer.
3. Omne tempus utiliter expendebant, omnis hora ad vacandum Deo brevis videbatur. Et præ magna dulcedine contemplationis, etiam oblivioni tradebatur necessitas corporalis refectionis. Omnibus divitiis, dignitatibus, honoribus, amicis et cognatis renuntiabant. Nihil de mundo habere cupiebant: vix necessaria vitæ sumebant, corpori servire etiam in necessitate dolebant. Pauperes igitur erant rebus terrenis, sed divites valde in gratia, et virtutibus. Foris egebant, sed intus gratia, et consolatione divina reficiebantur.	3. They spent their whole time profitably; every hour seemed short for retirement with God; and through the great sweetness of contemplation, even the need of bodily refreshment was forgotten. They renounced all riches, dignities, honours, friends, kinsmen; they desired nothing from the world; they ate the bare necessaries of life; they were unwilling to minister to the body even in necessity. Thus were they poor in earthly things, but rich above measure in grace and virtue. Though poor to the outer eye, within they were filled with grace and heavenly benedictions.
4. Mundo erant alieni, sed Deo proximi, ac familiares amici. Sibi ipsis videbantur tanquam nihili, et huic mundo dispecti, sed erant in oculis Dei prætiosi, et delecti. In vera humilitate stabant, in simplici obedientia vivebant, in charitate et patientia ambulabant, et ideo quotidie proficiebant, et magnam apud Deum obtinebant gratiam. Dati sunt in exemplum omnibus Religiosis et plus provocare nos debent ad bene proficiendum, quam tepidorum numerus ad relaxandum.	4. They were strangers to the world, but unto God they were as kinsmen and friends. They seemed unto themselves as of no reputation, and in the world’s eyes contemptible; but in the sight of God they were precious and beloved. They stood fast in true humility, they lived in simple obedience, they walked in love and patience; and thus they waxed strong in spirit, and obtained great favour before God. To all religious men they were given as an example, and they ought more to provoke us unto good livings than the number of the lukewarm tempteth to carelessness of life. 
5. O, quantus fervor omnium Religiosorum in principio suæ sanctæ institutionis fuit; o, quanta devotio orationis, quanta æmulatio virtutis, quam magna disciplina viguit, quanta reverentia et obedientia sub regula in omnibus floruit. Testantur adhuc vestigia derelicta, quod vere viri sancti et perfecti fuerunt, qui tam strenue militantes, mundum suppeditaverunt. Jam magnus utique putatur, si quis transgressor non fuerit, si quis quod accepit cum patientia tolerare potuerit.	5. O how great was the love of all religious persons at the beginning of this sacred institution! O what devoutness of prayer! what rivalry in holiness! what strict discipline was observed! what reverence and obedience under the rule of the master showed they in all things! The traces of them that remain until now testify that they were truly holy and perfect men, who fighting so bravely trod the world underfoot. Now a man is counted great if only he be not a transgressor, and if he can only endure with patience what he hath undertak
6. O, tepor et negligentia status nostri, quod tam cito declinamus a pristino fervore et jam tædet vivere præ lassitudine et tepore. Utinam in te penitus non dormiret profectus virtutum, qui multa sæpius exempla vidisti devotorum.	6. O the coldness and negligence of our times, that we so quickly decline from the former love, and it is become a weariness to live, because of sloth and lukewarmness. May progress in holiness not wholly fall asleep in thee, who many times hast seen so many examples of devout men!
Cap. 19. De exercitiis boni Religiosi.	CHAPTER XIX Of the exercises of a religious man
1. Vita boni Religiosi omnibus virtutibus pollere debet, ut sit talis interius qualis ab hominibus videtur exterius. Et multo plus debet esse intus, quam quod cernitur foris, quia inspector noster est Deus quem summopere revereri debemus ubicumque fuerimus, et tamquam Angeli in conspectu ejus mundi incedere. Omni die renovare debemus propositum nostrum, et ad fervorem nos excitare, quasi hodie primum ad conversionem venissemus ac dicere: Adjuva me Deus in bono proposito et sancto fervitio tuo, et da mihi nunc hodie perfecte incipere, quia nihil est, quod hactenus feci.	1. The life of a Christian ought to be adorned with all virtues, that he may be inwardly what he outwardly appeareth unto men. And verily it should be yet better within than without, for God is a discerner of our heart, Whom we must reverence with all our hearts wheresoever we are, and walk pure in His presence as do the angels. We ought daily to renew our vows, and to kindle our hearts to zeal, as if each day were the first day of our conversion, and to say, “Help me, O God, in my good resolutions, and in Thy holy service, and grant that this day I may make a good beginning, for hitherto I have done nothing!”
2. Secundum propositum nostrum est cursus profectus nostri, et multa diligentia opus est bene proficere volenti. Quod si fortiter proponens sæpe deficit, quid faciet ille qui raro aut minus fixe aliquid proponit? Variis tamen modis contingit defertio propositi nostri. Et levis omissio exercitiorum vix sine aliquo dispendio transit. Justorum propositum in gratia potius Dei, quam in propria patientia pendet. In quo et semper confidunt quidquid arripiunt. Nam homo proponit, sed Deus disponit,nec est in homine via ejus.	2. According to our resolution so is the rate of our progress, and much diligence is needful for him who would make good progress. For if he who resolveth bravely oftentimes falleth short, how shall it be with him who resolveth rarely or feebly? But manifold causes bring about abandonment of our resolution, yet a trivial omission of holy exercises can hardly be made without some loss to us. The resolution of the righteous dependeth more upon the grace of God than upon their own wisdom; for in Him they always put their trust, whatsoever they take in hand. For man proposeth, but God disposeth; and the way of a man is not in himself.
3. Si pietatis causa, aut fraternæ utilitatis proposito, quandoque consuetum omittitur exercitium, facile postea poterit recuperari. Si autem tædio animi, vel negligentia faciliter relinquitur, satis culpabile est et nocivum sentitur. Conemur quantum possumus, adhuc leviter deficiemus in multis. Semper tamen aliquid certi proponendum est, et proponenda sunt illa præcipue quæ amplius nos impediunt. Exteriora nostra et interiora pariter nobis scrutanda sunt, et ordinanda, quia utraque expediunt ad proprium profectum.	3. If a holy exercise be sometimes omitted for the sake of some act of piety, or of some brotherly kindness, it can easily be taken up afterwards; but if it be neglected through distaste or slothfulness, then is it sinful, and the mischief will be felt. Strive as earnestly as we may, we shall still fall short in many things. Always should some distinct resolution be made by us; and, most of all, we must strive against those sins which most easily beset us. Both our outer and inner life should be straitly examined and ruled by us, because both have to do with our progress.
4. Si non continue te vales colligere, saltem interdum, et ad minus semel in die, mane videlicet aut vespere. Mane propone, vespere discute mores tuos, qualis hodie fuisti in verbo, opere et cogitatione, quia in his forsan Deum sæpius offendisti ex proximum. Accinge te sicut vir fortis contra diabolicas nequitias, fræna gulam et omnem carnis inclinatinem facilius frænabis. Numquam sis ex toto otiosus, sed aut legens, aut scribens, aut orans, aut meditans, aut aliquid utilitatis pro communi laborans. Corporalia tamen exercitia discrete sunt agenda, nec omnibus æqualiter assumenda.	4. If thou canst not be always examining thyself, thou canst at certain seasons, and at least twice in the day, at evening and at morning. In the morning make thy resolves, and in the evening inquire into thy life, how thou hast sped to-day in word, deed, and thought; for in these ways thou hast often perchance offended God and thy neighbour. Gird up thy lions like a man against the assaults of the devil; bridle thine appetite, and thou wilt soon be able to bridle every inclination of the flesh. Be thou never without something to do; be reading, or writing, or praying, or meditating, or doing something that is useful to the community. Bodily exercises, however, must be undertaken with discretion, nor are they to be used by all alike.
5. Quæ communia non sunt, non sunt foris ostendenda, nam in secreto tutius exercentur privata. Cavendum tamen ne piger sis ad communia, et ad singularia promptior. Sed expletis integre et fideliter debitis, et injunctis, si jam ultra tempus vacat, redde te tibi, prout tua devotio desiderat. Non possunt omnes habere exercitium unum, sed aliud isti, aliud illi magis deservit, et pro temporis congruentia diversa placent exercitia, quia alia in festis, alia in feriatis magis sapiunt diebus, aliis indigemus tempore tentationis, et aliis tempore pacis et quietis. Alia, cum tristamur, libet cogitare, et alia, cum læti in Domino fuerimus.	5. The duties which are not common to all must not be done openly, but are safest carried on in secret. But take heed that thou be not careless in the common duties, and more devout in the secret; but faithfully and honestly discharge the duties and commands which lie upon thee, then afterwards, if thou hast still leisure, give thyself to thyself as thy devotion leadeth thee. All cannot have one exercise, but one suiteth better to this man and another to that. Even for the diversity of season different exercises are needed, some suit better for feasts, some for fasts. We need one kind in time of temptations and others in time of peace and quietness. Some are suitable to our times of sadness, and others when we are joyful in the Lord.
6. Circa principalia festa renovanda sunt bona exercitia, et Sanctorum suffragia ferventius imploranda. De festo in festum proponere debemus quasi tunc de sæculo migraturi, et ad æternum festum perventuri. Ideoque sollicite nos præparare debemus in devotis temporibus, et devotius conversari, atque omnem observantiam strictius custodire, tanquam in brevi laboris nostri præmium a Deo percepturi.	6. When we draw near the time of the great feasts, good exercises should be renewed, and the prayers of holy men more fervently besought. We ought to make our resolutions from one Feast to another, as if each were the period of our departure from this world, and of entering into the eternal feast. So ought we to prepare ourselves earnestly at solemn seasons, and the more solemnly to live, and to keep straightest watch upon each holy observance, as though we were soon to receive the reward of our labours at the hand of God.
7. Et si dilatum fuerit, credamus nos minus bene paratos, atque indignos tantæ gloriæ, quæ revelabitur in nobis tempore præfinito et studeamus nos melius ad exitum præparare.Beatus servusait Evangelista Lucas,quem, cum venerit Dominus, invenerit vigilantem. Amen dico vobis, super omnia bona sua constituet eum.	7. And if this be deferred, let us believe ourselves to be as yet ill-prepared, and unworthy as yet of the glory which shall be revealed in us at the appointed season; and let us study to prepare ourselves the better for our end. Blessed is that servant, as the Evangelist Luke hath it, whom, when the Lord cometh He shall find watching. Verily I say unto you He will make him ruler over all that He hath.
Cap. 20. De amore solitudinis et silentii.	CHAPTER XX Of the love of solitude and silence
1. Quære aptum tempus vacandi tibi, de beneficiis Dei frequenter cogita. Relinque curiosa, tales potius perlege materias, quæ compunctionem magis præstent quam occupationem. Si te subtraxeris a superfluis locutionibus et curiosis circuitionibus nec non a novitatibus et remoribus audiendis, invenies tempus sufficiens et aptum bonis meditationibus insistendis. Maximi Sanctorum humana consortia ubi poterant vitabant et Deo in secreto vivere eligebant.	1. Seek a suitable time for thy meditation, and think frequently of the mercies of God to thee. Leave curious questions. Study such matters as bring thee sorrow for sin rather than amusement. If thou withdraw thyself from trifling conversation and idle goings about, as well as from novelties and gossip, thou shalt find thy time sufficient and apt for good meditation. The greatest saints used to avoid as far as they could the company of men, and chose to live in secret with God.
