Liber PrimusAdmonitiones ad Vitam spiritualem utiles.	THE FIRST BOOK ADMONITIONS PROFITABLE FOR THE SPIRITUAL LIFE
3. Antiqua consuetudo difficulter relinquitur et ultra proprium videre nemo libenter ducitur. Si rationi tuæ magis inniteris vel industriæ, quam virtuti subjectivæ Jesu Christi, raro et trade eris homo illuminatus, quia Deus vult nos sibi perfecte subjicii, et omnem rationem per inflammatum amorem transcendere.	3. Established custom is not easily relinquished, and no man is very easily led to see with the eyes of another. If thou rest more upon thy own reason or experience than upon the power of Jesus Christ, thy light shall come slowly and hardly; for God willeth us to be perfectly subject unto Himself, and all our reason to be exalted by abundant love towards Him.
Cap. 15. De operibus ex charitate factis.	CHAPTER XV Of works of charity
1. Pro nulla re mundi, et pro nullius hominis dilectione aliquod malum est faciendum.  Sed pro utilitate indigentis bonum opus aliquando intermittendum aut quandoque pro meliori mutandum. Hoc nam facto opus bonum non destruitur, sed in melius commutatur. Sine charitate opus externum non prodest quemquam. Quicquid autem ex charitate agitur quantumcumque etiam parvum sit, et despectum totum efficitur fructuosum. Magis si quidem Deus pensat ex quanto quis agit, quam quantum quis facit.	1. For no worldly good whatsoever, and for the love of no man, must anything be done which is evil, but for the help of the suffering a good work must sometimes be postponed, or be changed for a better; for herein a good work is not destroyed, but improved. Without charity no work profiteth, but whatsoever is done in charity, however small and of no reputation it be, bringeth forth good fruit; for God verily considereth what a man is able to do, more than the greatness of what he doth.
2. Multum quis facit, qui multum diligit. Multum facit qui rem bene facit. Bene facit, qui magis communitati, quam suæ voluntati fervit. Sæpe videtur esse charitas, et est magis carnalitas, quia carnalis inclinatio, propria voluntas, spes retributionis, affectus voluntatis raro abesse volunt.	2. He doth much who loveth much. He doth much who doth well. He doth well who ministereth to the public good rather than to his own. Oftentimes that seemeth to be charity which is rather carnality, because it springeth from natural inclination, self-will, hope of repayment, desire of gain. 
3. Qui veram et perfectam charitatem habet, in nulla re se ipsum quærit, sed Dei solummodo gloriam in omnibus fieri desiderat. Nulli etiam invidet, quia nullum privatum gaudium amat, nec in se ipso vult gaudere, sed in Deo super omnia optat bona beatificari. Nemini aliquid boni attribuit, sed totaliter ad Deum refert tota, unde omnia procedunt. In quo finaliter omnes Sancti fruibiliter quiescunt. O qui scintillam haberet veræ charitatis, perfecte omnia terrena sentiret plena vanitatis.	3. He who hath true and perfect charity, in no wise seeketh his own good, but desireth that God alone be altogether glorified. He envieth none, because he longeth for no selfish joy; nor doth he desire to rejoice in himself, but longeth to be blessed in God as the highest good. He ascribeth good to none save to God only, the Fountain whence all good proceedeth, and the End, the Peace, the joy of all Saints. Oh, he who hath but a spark of true charity, hath verily learned that all worldly things are full of vanity. 
Cap. 16. De sufferentia defectuum aliorum.	CHAPTER XVI Of bearing with the faults of others
1. Quæ rarissime homo in se vel in aliis emendare non valet, debet patienter sustinere, donec Deus aliter ordinet. Cogita quod sic forte melius est pro tua probatione et patientia, sine qua non sunt multum ponderanda merita nostra. Debes tamen pro talibus impedimentis supplicare, ut tibi dignetur Deus subvenire, ut possis benigne portare.	1. Those things which a man cannot amend in himself or in others, he ought patiently to bear, until God shall otherwise ordain. Bethink thee that perhaps it is better for thy trial and patience, without which our merits are but little worth. Nevertheless thou oughtest, when thou findeth such impediments, to beseech God that He would vouchsafe to sustain thee, that thou be able to bear them with a good will.
2. Si quis semel vel bis admonitus non acquiescit, noli cum eo contendere, sed totum Deo committe, ut fiat voluntas sua, et honor in omnibus servis suis, qui scit bene, malum in bonum convertere. Stude patiens esse in tolerando aliorum defectus, et qualescumque infirmitates, quia et tu multa habes, quæ ab aliis oportet tolerari. Si non potes te talem facere qualem vis, quomodo poteris alium habere ad beneplacitum tuum? Libenter videmus alios perfectos, sed tamen proprios non emendamus defectus.	2. If one who is once or twice admonished refuse to hearken, strive not with him, but commit all to God, that His will may be done and His honour be shown in His servants, for He knoweth well how to convert the evil unto good. Endeavour to be patient in bearing with other men’s faults and infirmities whatsoever they be, for thou thyself also hast many things which have need to be borne with by others. If thou canst not make thine own self what thou desireth, how shalt thou be able to fashion another to thine own liking. We are ready to see others made perfect, and yet we do not amend our own shortcomings.
3. Volumus quod alii districte corrigantur, et nos ipsi corrigi nolumus, aut negari quod petimus. Alios restringi per statuta volumus, et ipsi nullatenus patimur amplius cohiberi. Sic ergo patet, quam raro proximum, sicut nos ipsos pensamus. Si omnes essent perfecti quid tunc haberemus ab aliis pro Deo pati?	3. We will that others be straitly corrected, but we will not be corrected ourselves. The freedom of others displeaseth us, but we are dissatisfied that our own wishes shall be denied us. We desire rules to be made restraining others, but by no means will we suffer ourselves to be restrained. Thus therefore doth it plainly appear how seldom we weigh our neighbour in the same balance with ourselves. If all men were perfect, what then should we have to suffer from others for God?
4. Nunc autem Deus sic ordinavit, ut discamusalter alterius onera portare,quia nemo sine defectu, nemo sine onere, nemo sibi sufficiens, nemo sibi satis sapiens, sed oportet invicem portare, invicem consolari, pariter adjuvare, et ammonere. Quantas autem virtutes quisque fecerit, melius patet occasione adversitatis. Occasiones namque hominem fragilem non faciunt, sed qualis sit, ostendunt.	4. But now hath God thus ordained, that we may learn to bear one another’s burdens, because none is without defect, none without a burden, none sufficient of himself, none wise enough of himself; but it behoveth us to bear with one another, to comfort one another, to help, instruct, admonish one another. How much strength each man hath is best proved by occasions of adversity: for such occasions do not make a man frail, but show of what temper he is.
Cap. 17. De monastica vita.	CHAPTER XVII Of a Religious life
1. Oportet ut discas te ipsum in multis frangere, si vis pacem et concordiam cum aliis tenere. Non est parvum in monasteriis, vel in congregatione habitare, et in illis sine querela conversari, et usque ad mortem fidelis perseverare. Beatus qui ibidem bene visit, et feliciter consummavit. Si vis debite stare et proficere, teneas te tanquam exulem et peregrinum super terram. Oportet te stultum fieri propter Christum, si vis religiosam ducere vitam.	1. It behoveth thee to learn to mortify thyself in many things, if thou wilt live in amity and concord with other men. It is no small thing to dwell in a religious community or congregation, and to live there without complaint, and therein to remain faithful even unto death. Blessed is he who hath lived a good life in such a body, and brought it to a happy end. If thou wilt stand fast and wilt profit as thou oughtest, hold thyself as an exile and a pilgrim upon the earth. Thou wilt have to be counted as a fool for Christ, if thou wilt lead a religious life.
2. Habitus et tonsura modicum faciunt, sed mutatio morum et integra mortificatio passionem verum faciunt religiosum. Qui aliud quærit, quam pure Deum, et animæ suæ salutem, non inveniet nisi tribulationem et dolorem. Non potest etiam diu stare pacificus, qui non nititur esse minimus, et omnibus subjectus. Ad serviendum venisti, non ad regendum, ad paciendum et laborandum scias te vocatum, non ad otiandum, vel fabulandum. Hic ergo probantur homines sicut aurum in fornace. Hic nemo potest stare nisi ex toto corde si voluerit propter Deum humiliare.	2. The clothing and outward appearance are of small account; it is change of character and entire mortification of the affections which make a truly religious man. He who seeketh aught save God and the health of his soul, shall find only tribulation and sorrow. Nor can he stand long in peace, who striveth not to be least of all and servant of all. 3. Thou art called to endure and to labour, not to a life of ease and trifling talk. Here therefore are men tried as gold in the furnace. No man can stand, unless with all his heart he will humble himself for God’s sake. 
Cap. 18. De exemplo Sanctorum Patrum.	CHAPTER XVIII Of the example of the holy fathers 
1. Intuere Sanctorum Patrum vivida exempla, in quibus vera perfectio fulsit, et videbis quam modicum sit, et vere nihil, quod nos agimus. Heu quid est vita nostra, si illis fuerit comparata. Sancti et amici Christi Domino servierunt in fame et siti, in frigore et nuditate, in labore et fatigatine, in vigiliis et jejuniis, in orationibus et sanctis meditationibus, in persecutionibus et opprobriis multis.	1. Consider now the lively examples of the holy fathers, in whom shone forth real perfectness and religion, and thou shalt see how little, even as nothing, is all that we do. Ah! What is our life when compared to theirs? They, saints and friends of Christ as they were, served the Lord in hunger and thirst, in cold and nakedness, in labour and weariness, in watchings and fastings, in prayer and holy meditations, in persecutions and much rebuke.
2. O quam multas, et graves tribulationes passi sunt Apostoli, Martyres et Confessores, Virginies et reliqui omnes, qui Christi vestigia voluerunt sequi. Nam animas suas in hoc mundo oderunt, ut in vitam æternam eas possiderent. O quam strictam et abdicatam vitam sancti Patres in eremo duxerunt, quam longas, et graves tentationes pertulerunt: quam frequenter ab inimico vexati sunt, quam graves, et fervidas orationes Deo obtulerunt, quam rigidas abstinentias peregerunt, quam magnum zelum, et fervorem ad spiritualem profectum habuerunt, quam forte bellum adversus edomationem vitiorum gesserunt, quam puram, et rectam intentionem ad Deum tenuerunt, per diem laborabant, et noctibus orationi diutinæ vacabant: quamquam laborando ab oratione mentali minime cessarent.	2. O how many and grievous tribulations did the Apostles, Martyrs, Confessors, Virgins, endure; and all others who would walk in the footsteps of Christ. For they hated their souls in this world that they might keep them unto life eternal. O how strict and retired a life was that of the holy fathers who dwelt in the desert! what long and grievous temptations they did suffer! how often were they assaulted by the enemy! what frequent and fervid prayers did they offer unto God! what strict fasts did they endure! what fervent zeal and desire after spiritual profit did they manifest! how bravely did they fight that their vices might not gain the mastery! how entirely and steadfastly did they reach after God! By day they laboured, and at night they gave themselves ofttimes unto prayer; yea, even when they were labouring they ceased not from mental prayer.
3. Omne tempus utiliter expendebant, omnis hora ad vacandum Deo brevis videbatur. Et præ magna dulcedine contemplationis, etiam oblivioni tradebatur necessitas corporalis refectionis. Omnibus divitiis, dignitatibus, honoribus, amicis et cognatis renuntiabant. Nihil de mundo habere cupiebant: vix necessaria vitæ sumebant, corpori servire etiam in necessitate dolebant. Pauperes igitur erant rebus terrenis, sed divites valde in gratia, et virtutibus. Foris egebant, sed intus gratia, et consolatione divina reficiebantur.	3. They spent their whole time profitably; every hour seemed short for retirement with God; and through the great sweetness of contemplation, even the need of bodily refreshment was forgotten. They renounced all riches, dignities, honours, friends, kinsmen; they desired nothing from the world; they ate the bare necessaries of life; they were unwilling to minister to the body even in necessity. Thus were they poor in earthly things, but rich above measure in grace and virtue. Though poor to the outer eye, within they were filled with grace and heavenly benedictions.
4. Mundo erant alieni, sed Deo proximi, ac familiares amici. Sibi ipsis videbantur tanquam nihili, et huic mundo dispecti, sed erant in oculis Dei prætiosi, et delecti. In vera humilitate stabant, in simplici obedientia vivebant, in charitate et patientia ambulabant, et ideo quotidie proficiebant, et magnam apud Deum obtinebant gratiam. Dati sunt in exemplum omnibus Religiosis et plus provocare nos debent ad bene proficiendum, quam tepidorum numerus ad relaxandum.	4. They were strangers to the world, but unto God they were as kinsmen and friends. They seemed unto themselves as of no reputation, and in the world’s eyes contemptible; but in the sight of God they were precious and beloved. They stood fast in true humility, they lived in simple obedience, they walked in love and patience; and thus they waxed strong in spirit, and obtained great favour before God. To all religious men they were given as an example, and they ought more to provoke us unto good livings than the number of the lukewarm tempteth to carelessness of life. 
5. O, quantus fervor omnium Religiosorum in principio suæ sanctæ institutionis fuit; o, quanta devotio orationis, quanta æmulatio virtutis, quam magna disciplina viguit, quanta reverentia et obedientia sub regula in omnibus floruit. Testantur adhuc vestigia derelicta, quod vere viri sancti et perfecti fuerunt, qui tam strenue militantes, mundum suppeditaverunt. Jam magnus utique putatur, si quis transgressor non fuerit, si quis quod accepit cum patientia tolerare potuerit.	5. O how great was the love of all religious persons at the beginning of this sacred institution! O what devoutness of prayer! what rivalry in holiness! what strict discipline was observed! what reverence and obedience under the rule of the master showed they in all things! The traces of them that remain until now testify that they were truly holy and perfect men, who fighting so bravely trod the world underfoot. Now a man is counted great if only he be not a transgressor, and if he can only endure with patience what he hath undertak
6. O, tepor et negligentia status nostri, quod tam cito declinamus a pristino fervore et jam tædet vivere præ lassitudine et tepore. Utinam in te penitus non dormiret profectus virtutum, qui multa sæpius exempla vidisti devotorum.	6. O the coldness and negligence of our times, that we so quickly decline from the former love, and it is become a weariness to live, because of sloth and lukewarmness. May progress in holiness not wholly fall asleep in thee, who many times hast seen so many examples of devout men!
Cap. 19. De exercitiis boni Religiosi.	CHAPTER XIX Of the exercises of a religious man
1. Vita boni Religiosi omnibus virtutibus pollere debet, ut sit talis interius qualis ab hominibus videtur exterius. Et multo plus debet esse intus, quam quod cernitur foris, quia inspector noster est Deus quem summopere revereri debemus ubicumque fuerimus, et tamquam Angeli in conspectu ejus mundi incedere. Omni die renovare debemus propositum nostrum, et ad fervorem nos excitare, quasi hodie primum ad conversionem venissemus ac dicere: Adjuva me Deus in bono proposito et sancto fervitio tuo, et da mihi nunc hodie perfecte incipere, quia nihil est, quod hactenus feci.	1. The life of a Christian ought to be adorned with all virtues, that he may be inwardly what he outwardly appeareth unto men. And verily it should be yet better within than without, for God is a discerner of our heart, Whom we must reverence with all our hearts wheresoever we are, and walk pure in His presence as do the angels. We ought daily to renew our vows, and to kindle our hearts to zeal, as if each day were the first day of our conversion, and to say, “Help me, O God, in my good resolutions, and in Thy holy service, and grant that this day I may make a good beginning, for hitherto I have done nothing!”
2. Secundum propositum nostrum est cursus profectus nostri, et multa diligentia opus est bene proficere volenti. Quod si fortiter proponens sæpe deficit, quid faciet ille qui raro aut minus fixe aliquid proponit? Variis tamen modis contingit defertio propositi nostri. Et levis omissio exercitiorum vix sine aliquo dispendio transit. Justorum propositum in gratia potius Dei, quam in propria patientia pendet. In quo et semper confidunt quidquid arripiunt. Nam homo proponit, sed Deus disponit,nec est in homine via ejus.	2. According to our resolution so is the rate of our progress, and much diligence is needful for him who would make good progress. For if he who resolveth bravely oftentimes falleth short, how shall it be with him who resolveth rarely or feebly? But manifold causes bring about abandonment of our resolution, yet a trivial omission of holy exercises can hardly be made without some loss to us. The resolution of the righteous dependeth more upon the grace of God than upon their own wisdom; for in Him they always put their trust, whatsoever they take in hand. For man proposeth, but God disposeth; and the way of a man is not in himself.
3. Si pietatis causa, aut fraternæ utilitatis proposito, quandoque consuetum omittitur exercitium, facile postea poterit recuperari. Si autem tædio animi, vel negligentia faciliter relinquitur, satis culpabile est et nocivum sentitur. Conemur quantum possumus, adhuc leviter deficiemus in multis. Semper tamen aliquid certi proponendum est, et proponenda sunt illa præcipue quæ amplius nos impediunt. Exteriora nostra et interiora pariter nobis scrutanda sunt, et ordinanda, quia utraque expediunt ad proprium profectum.	3. If a holy exercise be sometimes omitted for the sake of some act of piety, or of some brotherly kindness, it can easily be taken up afterwards; but if it be neglected through distaste or slothfulness, then is it sinful, and the mischief will be felt. Strive as earnestly as we may, we shall still fall short in many things. Always should some distinct resolution be made by us; and, most of all, we must strive against those sins which most easily beset us. Both our outer and inner life should be straitly examined and ruled by us, because both have to do with our progress.
4. Si non continue te vales colligere, saltem interdum, et ad minus semel in die, mane videlicet aut vespere. Mane propone, vespere discute mores tuos, qualis hodie fuisti in verbo, opere et cogitatione, quia in his forsan Deum sæpius offendisti ex proximum. Accinge te sicut vir fortis contra diabolicas nequitias, fræna gulam et omnem carnis inclinatinem facilius frænabis. Numquam sis ex toto otiosus, sed aut legens, aut scribens, aut orans, aut meditans, aut aliquid utilitatis pro communi laborans. Corporalia tamen exercitia discrete sunt agenda, nec omnibus æqualiter assumenda.	4. If thou canst not be always examining thyself, thou canst at certain seasons, and at least twice in the day, at evening and at morning. In the morning make thy resolves, and in the evening inquire into thy life, how thou hast sped to-day in word, deed, and thought; for in these ways thou hast often perchance offended God and thy neighbour. Gird up thy lions like a man against the assaults of the devil; bridle thine appetite, and thou wilt soon be able to bridle every inclination of the flesh. Be thou never without something to do; be reading, or writing, or praying, or meditating, or doing something that is useful to the community. Bodily exercises, however, must be undertaken with discretion, nor are they to be used by all alike.
5. Quæ communia non sunt, non sunt foris ostendenda, nam in secreto tutius exercentur privata. Cavendum tamen ne piger sis ad communia, et ad singularia promptior. Sed expletis integre et fideliter debitis, et injunctis, si jam ultra tempus vacat, redde te tibi, prout tua devotio desiderat. Non possunt omnes habere exercitium unum, sed aliud isti, aliud illi magis deservit, et pro temporis congruentia diversa placent exercitia, quia alia in festis, alia in feriatis magis sapiunt diebus, aliis indigemus tempore tentationis, et aliis tempore pacis et quietis. Alia, cum tristamur, libet cogitare, et alia, cum læti in Domino fuerimus.	5. The duties which are not common to all must not be done openly, but are safest carried on in secret. But take heed that thou be not careless in the common duties, and more devout in the secret; but faithfully and honestly discharge the duties and commands which lie upon thee, then afterwards, if thou hast still leisure, give thyself to thyself as thy devotion leadeth thee. All cannot have one exercise, but one suiteth better to this man and another to that. Even for the diversity of season different exercises are needed, some suit better for feasts, some for fasts. We need one kind in time of temptations and others in time of peace and quietness. Some are suitable to our times of sadness, and others when we are joyful in the Lord.
6. Circa principalia festa renovanda sunt bona exercitia, et Sanctorum suffragia ferventius imploranda. De festo in festum proponere debemus quasi tunc de sæculo migraturi, et ad æternum festum perventuri. Ideoque sollicite nos præparare debemus in devotis temporibus, et devotius conversari, atque omnem observantiam strictius custodire, tanquam in brevi laboris nostri præmium a Deo percepturi.	6. When we draw near the time of the great feasts, good exercises should be renewed, and the prayers of holy men more fervently besought. We ought to make our resolutions from one Feast to another, as if each were the period of our departure from this world, and of entering into the eternal feast. So ought we to prepare ourselves earnestly at solemn seasons, and the more solemnly to live, and to keep straightest watch upon each holy observance, as though we were soon to receive the reward of our labours at the hand of God.
7. Et si dilatum fuerit, credamus nos minus bene paratos, atque indignos tantæ gloriæ, quæ revelabitur in nobis tempore præfinito et studeamus nos melius ad exitum præparare.Beatus servusait Evangelista Lucas,quem, cum venerit Dominus, invenerit vigilantem. Amen dico vobis, super omnia bona sua constituet eum.	7. And if this be deferred, let us believe ourselves to be as yet ill-prepared, and unworthy as yet of the glory which shall be revealed in us at the appointed season; and let us study to prepare ourselves the better for our end. Blessed is that servant, as the Evangelist Luke hath it, whom, when the Lord cometh He shall find watching. Verily I say unto you He will make him ruler over all that He hath.
Cap. 20. De amore solitudinis et silentii.	CHAPTER XX Of the love of solitude and silence
1. Quære aptum tempus vacandi tibi, de beneficiis Dei frequenter cogita. Relinque curiosa, tales potius perlege materias, quæ compunctionem magis præstent quam occupationem. Si te subtraxeris a superfluis locutionibus et curiosis circuitionibus nec non a novitatibus et remoribus audiendis, invenies tempus sufficiens et aptum bonis meditationibus insistendis. Maximi Sanctorum humana consortia ubi poterant vitabant et Deo in secreto vivere eligebant.	1. Seek a suitable time for thy meditation, and think frequently of the mercies of God to thee. Leave curious questions. Study such matters as bring thee sorrow for sin rather than amusement. If thou withdraw thyself from trifling conversation and idle goings about, as well as from novelties and gossip, thou shalt find thy time sufficient and apt for good meditation. The greatest saints used to avoid as far as they could the company of men, and chose to live in secret with God.
2. Dixit quidam:Quoties inter homines fui, minor homo redii.Hoc sæpius experimur, quando diu confabulamur. Facilius est enim tacere quam in verbo non excedere. Facilius est domi latere quam foris se posse sufficienter custodire. Qui igitur intendit ad interiora et spiritualia pervenire, oportet eum cum Jesu a turba declinare. Nemo secure apparet nisi qui libenter latet. Nemo secure præcipit nisi qui obedire didicit. Nemo secure gaudet nisi qui testimonium bonæ conscienitæ habet.	2. One hath said, “As oft as I have gone among men, so oft have I returned less a man.” This is what we often experience when we have been long time in conversation. For it is easier to be altogether silent than it is not to exceed in word. It is easier to remain hidden at home than to keep sufficient guard upon thyself out of doors. He, therefore, that seeketh to reach that which is hidden and spiritual, must go with Jesus “apart from the multitude.” No man safely goeth abroad who loveth not to rest at home. No man safely talketh but he who loveth to hold his peace. No man safely ruleth but he who loveth to be subject. No man safely commandeth but he who loveth to obey.
3. Semper tamen Sanctorum securitas plena timoris Dei extitit. Nec eo minus solliciti et humiles in se fuerunt, quia magnis virtutibus et gratia emicuerunt. Pravorum autem securitas ex superbia et præsumptione oritur et in fine in desperationem sui vertitur. Nunquam promittas tibi securitatem in hac vita, quamvis bonus videaris Coenobita, aut bonus Eremita.	3. No man safely rejoiceth but he who hath the testimony of a good conscience within himself. The boldness of the Saints was always full of the fear of God. Nor were they the less earnest and humble in themselves, because they shone forth with great virtues and grace. But the boldness of wicked men springeth from pride and presumption, and at the last turneth to their own confusion. Never promise thyself security in this life, howsoever good a monk or devout a solitary thou seemest.
4. Sæpe meliores in existimatione hominum magis periclitati sunt propter nimiam suam confidentiam. Unde multum utilius est, ut non penitus tentationibus careant, sed sæpius impugnentur ne nimium securi sint, ne forte in superbiam eleventur, ne etiam ad exteriores consolationes licentius declinent. O, qui nunquam transitoriam lætitiam quæreret, qui nunquam cum mundo se occuparet, quam bonam conscientiam servaret. O, qui omnem vanam sollicitudinem amputaret, et duntaxat salutaria ac divina cogitaret, et totam spem suam in Domino constitueret, quam magnam pacem et quietem possideret.	4. Often those who stand highest in the esteem of men, fall the more grievously because of their over great confidence. Wherefore it is very profitable unto many that they should not be without inward temptation, but should be frequently assaulted, lest they be over confident, lest they be indeed lifted up into pride, or else lean too freely upon the consolations of the world. O how good a conscience should that man keep, who never sought a joy that passeth away, who never became entangled with the world! O how great peace and quiet should he possess, who would cast off all vain care, and think only of healthful and divine things, and build his whole hope upon God! 
5. Nemo dignus est cælesti consolatione, nisi diligenter se exercuerit in sancta compunctione. Si vis corde tenus compungi, intra cubiculum tuum, et exclude tumultus mundi. Sicut scriptum est,In cubilibus vestris compungimini.In cella invenies, quod de foris sæpius amittes. Cella continuata dulcescit et male custodita tædium generat. Si in principio conversationis tuæ bene eam incolueris, et custodieris, erit postea tibi amica dilecta, et gratissimum solatium.	5. No man is worthy of heavenly consolation but he who hath diligently exercised himself in holy compunction. If thou wilt feel compunction within thy heart, enter into thy chamber and shut out the tumults of the world, as it is written, Commune with your own heart in your own chamber and be still.In retirement thou shalt find what often thou wilt lose abroad. Retirement, if thou continue therein, groweth sweet, but if thou keep not in it, begetteth weariness. If in the beginning of thy conversation thou dwell in it and keep it well, it shall afterwards be to thee a dear friend, and a most pleasant solace.
6. In silentio et quiete proficit anima devota, et discit abscondita Scripturarum. Ibi invenit fluenta lacrymarum, quibus singulis noctibus se lavet et mundet, ut Conditori suo tanto familiarior fiat, quanto longius ab omni sæculari tumultu degit. Qui ergo se substrahit a notis et amicis, approximabit illi Deus cum Angelis sanctis. Melius est latere et sui curam agere, quam se neglecto signa facere. Laudabile est homini religioso raro foras ire, fugere videri et nolle homines videre.	6. In silence and quiet the devout soul goeth forward and learneth the hidden things of the Scriptures. Therein findeth she a fountain of tears, wherein to wash and cleanse herself each night, that she may grow the more dear to her Maker as she dwelleth the further from all worldly distraction. To him who withdraweth himself from his acquaintance and friends God with his holy angels will draw nigh. It is better to be unknown and take heed to oneself than to neglect oneself and work wonders. It is praiseworthy for a religious man to go seldom abroad, to fly from being seen, to have no desire to see men.
7. Quid vis videre, quod non licet habere?Transit mundus, et concupiscentia ejus.Trahunt desideria sensualitatis ad spatiandum. Sed cum hora transierit, quid nisi gravitatem conscientiæ, et cordis dispersionem portat? Lætus exitus tristem sæpe reditum parit et læta vigilia serotina triste mane facit. Sic omne carnale gaudium blande intrat, sed in fine mordet et perimit.	7. Why wouldest thou see what thou mayest not have? The world passeth away and the lust thereof. The desires of sensuality draw thee abroad, but when an hour is past, what dost thou bring home, but a weight upon thy conscience and distraction of heart? A merry going forth bringeth often a sorrowful return, and a merry evening maketh a sad morning? So doth all carnal joy begin pleasantly, but in the end it gnaweth away and destroyeth. What canst thou see abroad which thou seest not at home? Behold the heaven and the earth and the elements, for out of these are all things made.
8. Quid potes videre alicubi, quod die potest sub solem permanere. Credis te forsitan satiari, sed non poteris pertingere. Si cuncta videres præsentia, quid esset, nisi visio vana? Leva oculos tuos ad Deum in excelsis, et ora pro peccatis tuis, et negligentiis. Dimitte vana vanis, tu autem intende illis, quæ tibi præcepit Deus. Claude super te ostium tuum, et voca ad te Jesum dilectum tuum. Mane cum eo in cella, quia non invenies alibi tantam pacem. Si non exisses nec quidquam de rumoribus audisses, melius in bona pace permansisses. Ex quo nova delectaris aliquando audire, oportet te exinde turbationem cordis tolerare.	8. What canst thou see anywhere which can continue long under the sun? Thou believest perchance that thou shalt be satisfied, but thou wilt never be able to attain unto this. If thou shouldest see all things before thee at once, what would it be but a vain vision? Lift up thine eyes to God on high, and pray that thy sins and negligences may be forgiven. Leave vain things to vain men, and mind thou the things which God hath commanded thee. Shut thy door upon thee, and call unto thyself Jesus thy beloved. Remain with Him in thy chamber, for thou shalt not elsewhere find so great peace. If thou hadst not gone forth nor listened to vain talk, thou hadst better kept thyself in good peace. But because it sometimes delighteth thee to hear new things, thou must therefore suffer trouble of heart.
Cap. 21. De compunctione cordis.	CHAPTER XXI Of compunction of heart
1. Si vis aliquid proficere, conserva te in timore Dei et noli esse nimis liber. Sed sub disciplina cohibe omnes sensus tuos, nec ineptæ te tradas lætitiæ, da te ad cordis compunctionem, et invenies devotionem; compunctio multa bona aperit, quæ dissolutio cito perdere consuevit. Mirum est, quod homo possit unquam perfecte lætari in hac vita, qui suum exilium, et tam multa pericula animæ suæ considerat, et pensat.	1. If thou wilt make any progress keep thyself in the fear of God, and long not to be too free, but restrain all thy senses under discipline and give not thyself up to senseless mirth. Give thyself to compunction of heart and thou shalt find devotion. Compunction openeth the way for many good things, which dissoluteness is wont quickly to lose. It is wonderful that any man can ever rejoice heartily in this life who considereth and weigheth his banishment, and the manifold dangers which beset his soul.
2. Propter levitatem cordis et negligentiam defectuum nosrorum non senstimus animæ nostræ dolores, sed sæpe vane reddimus verba, quandomerito flere deberemus. Non est vera libertas, nec bona conscientia, nisi in timore Dei. Felix qui abjicere potest omne impedimentum distractionis, et ad unionem se redigere sanctæ compunctionis. Felix qui a se abdicat quidquid suam conscientiam maculare potest, vel gravare. Certa viriliter. Consuetudo consuetudine vincitur. Si tu scis homies dimittere, ipsi bene dimittent te, tua facta facere.	2. Through lightness of heart and neglect of our shortcomings we feel not the sorrows of our soul, but often vainly laugh when we have good cause to weep. There is no true liberty nor real joy, save in the fear of God with a good conscience. Happy is he who can cast away every cause of distraction and bring himself to the one purpose of holy compunction. Happy is he who putteth away from him whatsoever may stain or burden his conscience. Strive manfully; custom is overcome by custom. If thou knowest how to let men alone, they will gladly let thee alone to do thine own works.
3. Non attrahas tibi res aliorum, nec te implices causis majorum. Habeas semper oculum super te primum, et admoneas te ipsum specialiter, præ omnibus tibi dilectis. Si non habes favorem hominum noli exinde tristari, sed hoc tibi sit grave quia non habes te satis bene et circumspecte, sicut deceret servum Dei et devotum Religiosum conversari. Utilius est sæpe et securius, quod homo non habeat multas consolationes in hac vita secudum carnem, præcipue tamen, quod divinas non habemus, aut rarius sentimus nos devotos; in culpa sumus, quia compunctionem non quærimus cordis, ac vanas et extrinsecas non abjicimus.	3. Busy not thyself with the affairs of others, nor entangle thyself with the business of great men. Keep always thine eye upon thyself first of all, and give advice to thyself specially before all thy dearest friends. If thou hast not the favour of men, be not thereby cast down, but let thy concern be that thou holdest not thyself so well and circumspectly, as becometh a servant of God and a devout monk. It is often better and safer for a man not to have many comforts in this life, especially those which concern the flesh. But that we lack divine comforts or feel them rarely is to our own blame, because we seek not compunction of heart, nor utterly cast away those comforts which are vain and worldly.
4. Cognosce te indignum divina consolatione, sed magis dignum multa tribulatione. Quando homo perfecte est compunctus, tunc gravis et amarus est ei totus mundus. Bonus homo sufficientem invenit materiam dolendi et flendi: sive enim considerat se, sive de proximo pensat; scit quia nemo sine tribulatione hic vivit; et quanto strictius sese considerat, tanto amplius dolet. Materiæ justi doloris, et internæ compunctionis sunt peccata, et vitia nostra, quibus ita involuti jacemus, ut raro cælistia contemplari valeamus.	4. Know thyself to be unworthy of divine consolation, and worthy rather of much tribulation. When a man hath perfect compunction, then all the world is burdensome and bitter to him. A good man will find sufficient cause for mourning and weeping; for whether he considereth himself, or pondereth concerning his neighbour, he knoweth that no man liveth here without tribulation, and the more thoroughly he considereth himself, the more thoroughly he grieveth. Grounds for just grief and inward compunction there are in our sins and vices, wherein we lie so entangled that we are but seldom able to contemplate heavenly things.
