Liber Quartus: De Sacramento Altaris.	THE FOURTH BOOK: ON THE SACRAMENT OF THE ALTAR
3. Multa namque bona largitus es, et adhuc sæpius largiris in Sacramento dilectis tuis devote communicantibus, Deus meus susceptor animæ meæ, reparator infirmitatis meæ, et totius dator consolationis internæ. Nam multam ipsis consolationem adversus varias tribulatones infundis, et de imo dejectionis propriæ ad spem tuæ protectionis erigis atque nova quadam gratia eos intus recreas et illustra, ut qui anxii primo, et sine affectione se ante Communionem senserant, postea refecti cibo potuque cælesti, in melius se mutatos inveniant. Quod idcirco cum electis tuis ita dispensanter agis, ut veraciter agnoscant, et patenter experiantur, quam nihil ex semetipsis habeant, et quid bonitatis ac gratiæ ex te consequantur. Quia ex semetipsis frigidi duri ac indevoti, ex te autem serventes ac devoti et alacres esse merentur. Quis enim ad fontem suavitatis humiliter accedens, non modicum suavitatis inde reportat? Aut quis juxta ignem copiosum stans, non parum caloris inde percipit? Et tu fons es semper plenus et super abundans, ignis semper ardens et nunquam deficiens.	3. For in this Sacrament Thou hast bestowed many good things and still bestowest them continually on Thine elect who communicate devoutly, O my God, Lifter up of my soul, Repairer of human infirmity, and Giver of all inward consolation. For Thou pourest into them much consolation against all sorts of tribulation, and out of the deep of their own misery Thou liftest them up to the hope of Thy protection, and with ever new grace, dost inwardly refresh and enlighten them; so that they who felt themselves to be anxious and without affection before Communion, afterwards being refreshed with heavenly food and drink, find themselves changed for the better. And even in such wise Thou dealest severally with Thine elect, that they may truly acknowledge and clearly make proof that they have nothing whatsoever of their own, and what goodness and grace come to them from Thee; because being in themselves cold, hard of heart, indevout, through Thee they become fervent, zealous, and devout. For who is there coming humbly to the fountain of sweetness, carrieth not away thence at the least some little of that sweetness? Or who standing by a large fire, feeleth not from thence a little of its heat? And Thou art ever a full and overflowing fountain, a fire continually burning, and never going out.
4. Unde si mihi non licet haurire de plenitudine fontis, nec usque ad satietatem potare, apponam tamen os meum ad foramen cælestis fistulæ, ut saltem inde guttulam modicam capiam, ad refocillandam sitim meam, ut non penitus exarescam. Et si necdum totus cælesti, et tam ignitus, ut Seraphim et Cherubim esse possum, conabor tamen devotioni insistere et cor meum præparae, ut vel modicam divini incendii flammam ex humili sumtione vivifici Sacramenti conquiram. Quidquid autem mihi deest, bone Jesu, Salvator sanctissime, tu pro me supple benigne ac gratiose, qui omnes ad te gratiose vocare dignatus es, dicens:Venite ad me omnes qui laboratis et onerati esti, et ego reficiam vos.	4. Wherefore if it is not suffered to me to draw from the fulness of the fountain, nor to drink unto satisfying, yet will I set my lips to the mouth of the heavenly conduit, that at least I may receive a small drop to quench my thirst, that I dry not up within my heart. And if I am not yet able to be altogether heavenly and so enkindled as the Cherubim and Seraphim, yet will I endeavour to give myself unto devotion, and to prepare my heart, that I may gain if it be but a little flame of the divine fire, through the humble receiving of the life-giving Sacrament. But whatsoever is wanting unto me, O merciful Jesus, Most Holy Saviour, do Thou of Thy kindness and grace supply, who hast vouchsafed to call all unto Thee, saying, Come unto me, all ye that are weary and heavy laden, and I will refresh you.
5. Ego quidem laboro in sudore vultus, mei, dolore cordis torqueor, peccatis oneror, tentationibus inquietor, multis malis passionibus implicor et premor, et non est qui adjuvet, non est qui liberet et salvum faciat, nisi tu, Domine Deus, Salvator meus, cui committo me et omnia mea, ut me custodias et perducas in vitam æternam. Suscipe me in laudem et gloriam nominis tui, qui Corpus tuum et Sanguinem in cibum et potum mihi parasti; præsta, Domine Deus Salutaris meus, ut cum frequentatione mysterii tui crescat meæ devotinis affectus.	5. I indeed labour in the sweat of my face, I am tormented with sorrow of heart, I am burdened with sins, I am disquieted with temptations, I am entangled and oppressed with many passions, and there is none to help me, there is none to deliver and ease me, but Thou, O Lord God, my Saviour, to whom I commit myself and all things that are mine, that Thou mayest preserve me and lead me unto life eternal. Receive me unto the praise and glory of Thy name, who hast prepared Thy Body  and Blood to be my meat and drink. Grant, O Lord God my Saviour, that with  coming often to Thy mysteries the zeal of my devotion may increase.
Cap. 5. De dignitate Sacramenti, et statu Sacerdotali.	CHAPTER V Of the dignity of this Sacrament, and of the office of the priest
1. Si haberes angelicam puritatem, et sancti Johannis Baptistæ sanctitatem, non esses dignus hoc Sacramentum accipere nec tractare. Non hoc meritis debetur hominum, quod homo consecret et tractet Christi sacramentum et sumat in cibum panem Angelorum. Grande myterium et magna dignitas Sacerdotum, quibus datum est, quod Angelis non est concessum. Soli namque Sacerdotes in Ecclesia rite ordinati potestatem habent celebrandi et Corpus Christi consecrandi. Sacerdos quidem minister Dei est, utens verbo Dei per jussionem et institutionem Dei. Deus autem ibi est principalis auctor, et invisibilis operator, cui subest omne quod voluerit, et paret omne quod jusserit.	1. If thou hadst angelic purity and the holiness of holy John the Baptist, thou wouldest not be worthy to receive or to minister this Sacrament. For this is not deserved by merit of man that a man should consecrate and minister the Sacrament of Christ, and take for food the bread of Angels. Vast is the mystery, and great is the dignity of the priests, to whom is given what is not granted to Angels. For priests only, rightly ordained in the church, have the power of consecrating and celebrating the Body of Christ. The priest indeed is the minister of God, using the Word of God by God’s command and institution; nevertheless God is there the principal Author and invisible Worker, that to whom all that He willeth is subject, and all He commandeth is obedient.
2. Plus ergo credere debes Deo omnipotenti in hoc excellentissimo Sacramento, quam proprio sensui aut alteri signo visibili. Ideoque cum timore et reverentia ad hoc opus est accedendum. Attende igitur et vide cujus ministerium tibi traditum est per impositionem manus Episcopi. Ecce Sacerdos factus es, et ad celebrandum consecratus: vide nunc ut fideliter et devote in suo tempore Deo sacrificum offeras, et teipsum irreprehensibilem exhibeas. Non alleviasti onus tuum, sed arctiori jam alligatus es vinculo disciplinæ, et ad majorem teneris perfectionem sanctitatis. Sacerdos debet esse omnibus virtutibus ornatus, et aliis bonæ vitæ exemplum præbere. Ejus conversatio non cum popularibus hominibus, sed cum Angelis in cælo, aut cum perfectis viris in terra.	2. Therefore thou must believe God Almighty in this most excellent Sacrament, more than thine own sense or any visible sign at all. And therefore with fear and reverence is this work to be approached. Take heed therefore and see what it is of which the ministry is committed to thee by the laying on of the Bishop’s hand. Behold thou art made a priest and art consecrated to celebrate. See now that thou do it before God faithfully and devoutly at due time, and shew thyself without blame. Thou hast not lightened thy burden, but art now bound with a straiter bond of discipline, and art pledged to a higher degree of holiness. A priest ought to be adorned with all virtues and to afford to others an example of good life. His conversation must not be with the popular and common ways of men, but with Angels in Heaven or with perfect men on earth.
3. Sacerdos sacris vestibus indutus Christi vices gerit, ut Deum pro se et pro omni populo suo suppliciter et humiliter roget: habet ante se et post se Dominicæ Crucis signum ad memorandam jugiter Christi passionem. Ante se Crucem in casula portat, ut Christi vestigia diligenter inspiciat, et sequi frequenter studeat. Post se cruce signatus est, ut adversa quælibet illata ab aliis clementer pro Deo toleret. Ante se Crucem gerit, ut propria peccata lugeat;post se, ut aliorum etiam commissa per compassionem defleat, et se medium inter Deum et peccatorem constitutum esse sciat, nec ab oratione, nec ab oblatione sancta torpescat, donec gratiam et misericordiam impetrare mereatur. Quando Sacerdos celebrat, honorat Deum, Angelos lætificat, Ecclesiam ædificat, vivos adjuvat, defunctis requiem præstat, et sese omnium bonorum participem efficit.	3. A priest clad in holy garments taketh Christ’s place that he may pray unto God with all supplication and humility for himself and for the whole people. He must always remember the Passion of Christ. He must diligently look upon Christ’s footsteps and fervently endeavour himself to follow them. He must bear meekly for God whatsoever ills are brought upon him by others. He must mourn for his own sins, and for the sins committed by others, and may not grow careless of prayer and holy oblation, until he prevail to obtain grace and mercy. When the priest celebrateth, he honoureth God, giveth joy to the Angels, buildeth up the Church, helpeth the living, hath communion with the departed, and maketh himself a partaker of all good things.
Cap. 6. Interrogatio de exercitio ante communionem.	CHAPTER VI An inquiry concerning preparation for Communion
1. Cum tuam dignitatem, et meam vilitatem penso, valde contremisco, et in me ipso confundor. Si enim non accedo vitam fugio; et si indigne me ingesserio, offensam incurro. Quid ergo faciam, Deus auxiliator meus et consiliator meus in necessitatibus?	1. When I consider Thy dignity, O Lord, and mine own vileness, I tremble very exceedingly, and am confounded within myself. For if I approach not, I fly from life; and if I intrude myself unworthily, I run into Thy displeasure. What then shall I do, O my God, Thou helper and Counsellor in necessities.
2. Tu doce me viam rectam, propone aliquod breve exercitium sacræ Communioni congruum.  Utile est enim scire, qualiter scilicet devote et reverenter tibi præparare debeam cor meum ad recipiendum salubriter tuum Sacramentum, seu etiam celebrandum tam magnum et divinum sacrificium.	2. Teach Thou me the right way; propound unto me some short exercise befitting Holy Communion. For it is profitable to know how I ought to prepare my heart devoutly and reverently for Thee, to the intent that I may receive Thy Sacrament to my soul’s health [or it may be also for the celebrating this so great and divine mystery].
Cap. 7. De discussione propriæ conscientiæ et emendationis proposito.	CHAPTER VII Of the examination of conscience, and purpose of amendment
1. Super omnia cum summa humilitate cordis et supplici reverentia, cum plena fide et pia intentione honoris Dei, ad hoc Sacramentum celebrandum, tractandum et sumendum oportet Dei accedere Sacerdotem. Diligenter examina conscientiam tuam, et pro posse tuo vera contritione, et humili confessione eam nuda e clarifica, ita ut nil grave habeas, aut scias, quod te remodeat et liberum accessum impediat. Habeas displicentiam omnium peccatorum tuorum in generali, et pro quotidianis excessibus magis in spirituali doleas et gemas; et, si tempus patiturum, Deo in secreto cordis cunctas confidere passionum tuarum miserias.	1. Above all things the priest of God must draw nigh, with all humility of heart and supplicating reverence, with full faith and pious desire for the honour of God, to celebrate, minister, and receive this Sacrament. Diligently examine thy conscience and with all thy might with true contrition and humble confession cleanse and purify it, so that thou mayest feel no burden, nor know anything which bringeth thee remorse and impedeth thy free approach. Have displeasure against all thy sins in general, and specially sorrow and mourn because of thy daily transgressions. And if thou have time, confess unto God in the secret of thine heart, all miseries of thine own passion. 
2. Ingemisce et dole, quod adhuc tam carnalis sis et mundanus, ita immortificatus a passionibus, tam plenus concupiscentiarum motibus, tam incustoditus in sensibus exterioribus, tam sæpe multis variis phantasiis implicatus, tam multum inclinatus ad exteriora, tam negligens ad interiora, tam levis ad risum et dissolutionem, tam durus ad fletum et compunctionem, tam promtus ad laxiora et carnis commoda, tam segnis ad rigorem et fervorem, tam curiosus ad nova capienda et audienda, et pulchra intuenda, tam remissus ad humilia et abjecta amplectenda, tam cupidus ad multa habenda, tam parcus ad dandum, tam tenax ad retinendum, tam inconsideratus in loquendo, tam incontinens ad tacendum, tam incompositus in moribus, tam importunus in actibus, tam effusus super cibum, tam surdus ad Dei verbum, tam velox ad quietem, tam tardus ad laborem, tam vigilans ad fabulas, tam somnolentus ad vigilias sacras; tam festinus ad finem, tam vagus ad attendendum, tam negligens in horis pervolvendis, tam tepidus in celebrando, tam aridus in communicando, tam cito distractus, tam raro tibi vene collectus, tam subito commotus ad iram, tam facilis ad alterius displicentiam, tam pronus ad judicandum, tam rigidus ad arguendum, tam lætus ad prospera, tam debilis in adversis, tam sæpe multa bona proponens, et modicum ad effectum perducens.	2. Lament grievously and be sorry, because thou art still so carnal and worldly, so unmortified from thy passions, so full of the motion of concupiscence, so unguarded in thine outward senses, so often entangled in many vain fancies, so much inclined to outward things, so negligent of internal; so ready to laughter and dissoluteness, so unready to weeping and contrition; so prone to ease and indulgence of the flesh, so dull to zeal and fervour; so curious to hear novelties and behold beauties, so loth to embrace things humble and despised; so desirous to have many things, so grudging in giving, so close in keeping; so inconsiderate in speaking, so reluctant to keep silence; so disorderly in manners, so inconsiderate in actions; so eager after food, so deaf towards the Word of God; so eager after rest, so slow to labour; so watchful after tales, so sleepy towards holy watchings; so eager for the end of them, so wandering in attention to them; so negligent in observing the hours of prayer, so lukewarm in celebrating, so unfruitful in communicating; so quickly distracted, so seldom quite collected with thyself; so quickly moved to anger, so ready for displeasure at others; so prone to judging, so severe at reproving; so joyful in prosperity, so weak in adversity; so often making many good resolutions and bringing them to so little effect.
3. His et aliis defectibus tuis cum dolore et magna displicentia propriæ infirmitatis confessis ac deploratis firmum statue propositum semper emendandi vitam tuam, et in melius proficiendi. Deinde cum plena resignatione, et integra voluntate offer te ipsum in honore nominis mei in ara cordis tui holocastum peretuum, corpus tuum scilicet, et animam mihi fideliter commitendo, quatenus sic digne merearis ad offerendum Deo sacrificium accedere, et Sacramentum Corporis mei salubriter suscipere.	3. When thou hast confessed and bewailed these and thy other shortcomings, with sorrow and sore displeasure at thine own infirmity, make then a firm resolution of continual amendment of life and of progress in all that is good. Then moreover with full resignation and entire will offer thyself to the honour of My name on the altar of thine heart as a perpetual whole burnt-offering, even by faithfully presenting thy body and soul unto Me, to the end that thou mayest so be accounted worthy to draw near to offer this sacrifice of praise and thanksgiving to God, and to receive the Sacrament of My Body and Blood to thy soul’s health. 
4. Non est enim oblatio dignior, et satisfacio major pro peccatis diluendis quam se ipsum pure et integre cum oblatione Corporis Christi in missa et in communione Deo offerre. Si homo fecerit quod in se est, et vere pœnituerit, quotiescumque pro venia et gratia ad me accesserit:Vivo ego, dicit Dominusquinolo mortem peccatoris, sedmagisut convertatur et vivat,quoniampeccatorum suorum non recordabor amplius,sed cuncta sibi indulta erunt.	4. For there is no oblation worthier, no satisfaction greater for the destroying of sin, than that a man offer himself to God purely and entirely with the oblation of the Body and Blood of Christ in the Holy Communion. If a man shall have done what in him lieth, and shall repent him truly, then how often soever he shall draw nigh unto Me for pardon and grace, As I live, saith the Lord, I have no pleasure in the death of a sinner, but rather that he should be converted, and live. All his transgressions that he hath committed, they shall not be mentioned unto him.
Cap. 8. De oblatione Christi in Cruce, et propria resignatione.	CHAPTER VIII Of the oblation of Christ upon the cross, and of resignation of self
1. Sicut ego me ipsum expansis in cruce manibus et nudo corpore pro peccatis tuis Deo Patri sponte obtuli, ita ut nihil in me remaneret, quin totum in sacrificium divinæ placationis transierit: ita debes et tu temetipsum mihi voluntarie in oblationem uram et sanctam quotidie in Missa cum omnibus viribus et affectionibus tuis, quanto intimus vales, offere. Quid magis a te requiro, quam ut te studeas mihi in exintimo resignare? Quidquid præter teipsum das, nihil curo; quia non quæro datum tuum, sed te.	1. As I of my own will offered myself unto God the Father on the Cross for thy sins with outstretched hands and naked body, so that nothing remained in Me that did not become altogether a sacrifice for the Divine propitiation; so also oughtest thou every day to offer thyself willingly unto Me for a pure and holy oblation with all thy strength and affections, even to the utmost powers of thine heart. What more do I require of thee than thou study to resign thyself altogether unto Me? Whatsoever thou givest besides thyself, I nothing care for, for I ask not thy gift, but thee.
2. Sicut non sufficeret tibi omnibus habitis præter me, ita nec mihi placere poterit quidquid dederis te non oblata. Offer te mihi, et da te totum pro Deo et erit accepta oblatio. Ecce ego me totum obtuli Patri pro te, dedi etiam totum corpus meum, et sanguinem in cibum, ut totus tuus essem, et tu meus permaneres. Si autem in teipso steteris, nec sponte te ad voluntatem meam obtuleris, non est plena oblatio, nec integra erit inter nos unio. Ideo omnia opera tua spontanea præcedere debet tui ipsius in manus Dei oblatio, si libertatem consequi vis et gratiam. Ideo tam pauci illuminati, et liberi intus efficiuntur, quia se ipso ex toto abnegare nesciunt. Est firma sententia mea:Nisi quis renunciaverit omnibus quæ possidet, non potest esse meus discipulus.Tu ergo si optas meus esse discipulus, offer teipsum mihi cum omnibus affectibus tuis.	2. As it would not be sufficient for thee if thou hadst all things except Me, even so whatsoever thou shalt give Me, if thou give Me not thyself, it cannot please Me. Offer thyself to Me, and give thyself altogether for God, so shall thy offering be accepted. Behold I offered Myself altogether to the Father for thee, I give also My whole body and blood for food, that thou mightest remain altogether Mine and I thine. But if thou stand in thyself, and offer not thyself freely to My will, thy offering is not perfect, neither shall the union betwixt us be complete. Therefore ought the freewill offering of thyself into the hands of God to go before all thy works, if thou wilt attain liberty and grace. For this is the cause that so few are inwardly enlightened and made free, that they know not how to deny themselves entirely. My word standeth sure, Except a man forsake all, he cannot be My disciple. Thou therefore, if thou wilt be My disciple, offer thyself to Me with all thy affections.
Cap. 9. Quod nos et omnia nostra Deo debemus offerre, et pro omnibus orare.	CHAPTER IX That we ought to offer ourselves and all that is ours to God, and to pray for all
1. Domine, omnia tua sunt quæ in cælo sunt et in terra. Desidero me ipsum tibi in spontatneam oblationem offerre, et tuus perpetuo permanere. Domine, si in simplicitate cordis mei offero me ipsum tibi hodie in servum sempiternum, in obsequium et in sacrificium laudis perpetuæ. Suscipe me cum hac sancta oblatione tui prætiosi Corporis, quam hodie tibi in præsentia Angelorum invisibiliter assistentium offero, ut sit pro me et pro cuncto populo tuo in salutem.	1. Lord, all that is in the heaven and in the earth is Thine. I desire to offer myself up unto thee as a freewill offering, and to continue Thine for ever. Lord, in the uprightness of mine heart I willingly offer myself to Thee to-day to be Thy servant for ever, in humble submission and for a sacrifice of perpetual praise. Receive me with this holy Communion of Thy precious Body, which I celebrate before Thee this day in the presence of the Angels invisibly surrounding, that it may be for the salvation of me and of all Thy people.
2. Domine, offero tibi omnia peccata mea et delicta mea, quæ commisi coram te et sanctis Angelis tuis, a die qua primum peccare potui usque ad diem hanc,super placabili altari tuo, ut te pariter omnia incendas, et comburas igne charitatis tuæ, et deleas universas maculas peccatorum meorum, et conscientiam meam ab omni delicto emundes, et restituas mihi gratiam tuam, quam peccando amisi, omnia mihi plene indulgendo et in osculum pacis me misericorditer assumendo.	2. Lord, I lay before Thee at this celebration all my sins and offences which I have committed before Thee and Thy holy Angels, from the day whereon I was first able to sin even unto this hour; that Thou mayest consume and burn them every one with the fire of Thy charity, and mayest do away all the stains of my sins, and cleanse my conscience from all offence, and restore me to Thy favour which by sinning I have lost, fully forgiving me all, and mercifully admitting me to the kiss of peace.
3. Quid possum agere pro peccatis meis, nisi humiliter ea confitendo et lamentando et tuam propitiationem incessanter deprecando? Deprecor te, exaudi me propitius, ubi asto, coram te, Deus meus. Omnia peccata mea mihi maxime displicent; nolo ea nunquam amplius perpetrare, sed pro eis doleo, et dolebo, quamdiu vixero, paratus pœnitentiam agere, et pro posse satisfacere. Dimitte mihi, Deus, dimitte peccata mea, propter nomen sanctum tuum, salva animam meam, quam prætioso sanguine redemisti. Ecce committo me misericordiæ tuæ, resigno me in manibus tuis: age mecum secundum bontiatem tuam, non secundum meam malitiam et iniquitatem.	3. What can I do concerning my sins, save humbly to confess and lament them and unceasingly to beseech Thy propitiation? I beseech Thee, be propitious unto me and hear me, when I stand before Thee, O my God. All my sins displease me grievously: I will never more commit them; but I grieve for them and will grieve so long as I live, steadfastly purposing to repent me truly, and to make restitution as far as I can. Forgive, O God, forgive me my sins for Thy holy Name’s sake; save my soul, which Thou hast redeemed with Thy precious blood. Behold I commit myself to Thy mercy, I resign myself to Thy hands. Deal with me according to Thy loving-kindness, not according to my wickedness and iniquity.
4. Offero etiam tibi omnia bona mea, quamvis pauca et imperfecta, ut tu ea emendes et sanctifices, ut ea grata habeas et accepta tibi facias et semper ad meliora trahas, nec non ad beatum et laudabilem finem: Domine, me pigrum et inutilem homuncionem perducas.	4. I offer also unto Thee all my goodness, though it is exceedingly little and imperfect, that Thou mayest mend and sanctify it, that Thou mayest make it well pleasing and acceptable in Thy sight, and ever draw it on towards perfection; and furthermore bring me safely, slothful and useless poor creature that I am, to a happy and blessed end.
5. Offero quoque tibi omnia desideria devotorum, necessitates parentem, amicorum, fratrum, foroum, omniumque chariorum meorum et eorum qui mihi vel aliis propter amorem tuorum benefecerunt: qui orationes et Missas pro se, suique omnibus dici a me petierunt et desideraverunt, sive in carne adhuc vivant, sive jam sæculo defuncti sint, ut omnes sibi auxilium gratiæ tuæ, opem consolationis, protectionem a periculis, liberationem a pœnis advenire sentiant et ut ab omnibus malis erepti, gratias magnificas læti persolvant.	5. Moreover I offer unto Thee all pious desires of the devout, necessities of parents, friends, brothers, sisters, and all who are dear to me, and of those who have done good to me, or to others for Thy love; and those who have desired and besought my prayers for themselves and all belonging to them; that all may feel themselves assisted by Thy grace, enriched by consolation, protected from dangers, freed from pains; and that being delivered from all evils they may joyfully give Thee exceeding thanks.
6. Offero etiam tibi preces placationis, pro illis specialiter qui me in aliquo læserunt, contristaverunt, aut vituperaverunt, vel aliquod damnum vel gravamen intulerunt, pro his quoque omnibus quos aliquando contristavi, conturbavi, gravavi, et scandalizavi, verbis vel factis, scienter et ignoranter, ut nobis omnibus pariter indulgeas omnia peccata nostra, et injurias et offensiones. Aufer, Domine, a cordibus nostris omnem suspicionem, indignationem, iram et discrepationem, et quidquid potest charitatem lædere et fraternam dilectionem minuere. Miserere, Domine, miserere misericordiam tuam poscentibus, da gratiam indigentibus, fac nos tales existere, ut simus digni gratia tua perfrui, et ad vitam proficiamus æternam.	6. I offer also to Thee prayers and Sacramental intercessions for those specially who have injured me in aught, made me sad, or spoken evil concerning me, or have caused me any loss or displeasure; for all those also whom I have at any time made sad, disturbed, burdened, and scandalized, by words or deeds, knowingly or ignorantly; that to all of us alike, Thou mayest equally pardon our sins and mutual offences. Take away, O Lord, from our hearts all suspicion, indignation, anger, and contention, and whatsoever is able to injure charity and diminish brotherly love. Have mercy, have mercy, Lord, on those who entreat Thy mercy; give grace to the needy; and make us such that we may be worthy to enjoy Thy grace, and go forward to the life eternal.
Cap. 10. Quod sacra Communio de facili non est reliquenda.	CHAPTER X That Holy Communion is not lightly to be omitted
1.  Frequenter recurrendum est ad fontem gratiæ et divinæ misericordiaæ, ad fontem bonitatis et totius puritatis, quatenus a passionibus tuis et vitiis curare valeas, et contra universas tentationes et fallacias diaboli fortior atque vigilantior effici merearis.  Inimicus sciens fructum et remedium maximum in sacra Communione positum, omni modo et occasione nititur fideles et devotos quantum prævalet retrahere et impedire.	1. Thou must frequently betake thee to the Fountain of grace and divine mercy, to the Fountain of goodness and all purity; to the end that thou mayest obtain the healing of thy passions and vices, and mayest be made stronger and more watchful against all temptations and wiles of the devil. The enemy, knowing what profit and exceeding strong remedy lieth in the Holy Communion, striveth by all means and occasions to draw back and hinder the faithful and devout, so far as he can.
2.  Cum enim quidam sacræ Communioni disponunt, pejores Satanæ immissiones et illusiones patiuntur. Ipse namque Spiritus, ut in Job scribitur, venit inter filios Dei, ut solita ejus nequitia perturbet, aut timidos nimium reddat et perplexos, quatenus fructus eorum affectuum minuat vel fidem impugnando auferat, si forte aut omnino Communionem relinquant, aut cum tepore accedant.  Sed non est quidquam curandum de versutiis et phantasiis illius quantumlibet turpibus et horrendis, sed cuncta phantasmata in caput ejus sunt retorquenda. Contemnendus est miser, et deridendus, nec propter insultus ejus et Commotiones, quas suscitat, sacra est omnittenda Communio.	2. For when some set about to prepare themselves for Holy Communion, they suffer from the more evil suggestions of Satan. The very evil spirit himself (as is written in Job), cometh among the sons of God that he may trouble them by his accustomed evil dealing, or make them over timid and perplexed; to the intent that he may diminish their affections, or take away their faith by his attacks, if haply he may prevail upon them to give up Holy Communion altogether, or to come thereto with lukewarm hearts. But his wiles and delusions must not be heeded, howsoever wicked and terrible they be; but all his delusion must be cast back upon his own head. The wretch must be despised and laughed to scorn: neither must Holy Communion be omitted because of his insults and the inward troubles which he stirreth up.
3.  Sæpe etiam impedit nimia sollicitudo pro devotione habenda et anxietas quædam de confessione facienda. Age secundum consilium sapientum; et depone anxietatem et scrupulum, quia gratiam Dei impedit et devotionem mentis destruit.  Propter aliquam parvam tribulationem vel gravitatem sacram ne dimittas Communionem; sed vade citius conteri et omnes offensiones aliis libenter indulge. Si vero aliquem offendisti tu, tu veniam humiliter deprecare: et Deus libenter indulgebit tibi.	3. Often also too much carefulness or some anxiety or other touching confession hindereth from obtaining devotion. Do thou according to the counsel of wise men, and lay aside anxiety and scruple, because it hindereth the grace of God and destroyeth devotion of mind. Because of some little vexation or trouble do not thou neglect Holy Communion, but rather hasten to confess it, and forgive freely all offences committed against thee. And if thou hast offended any man, humbly beg for pardon, and God shall freely forgive thee.
4. Quid prodest diu tardare confessionem, aut sacram differre Communinem? Expurga te quam primum; exspue velociter venenum, festina recipere remedium, et senties melius, quam si diu distuleris.  Si hodie propter istud distuleris, cras fositan illud magis eveniet, et sic diu posses a Communione impediti et magis ineptus fieri. Quanto citius vales, a præsenti gravitate et inertia te excutias, quia nihil importat diu anxiari, diu cum tribulatione transire et ob quotidiana obstacula se a divinis sequestrare, immo plurimum nocet diu Communionem: protelare: nam et gravem torporem consuevit induceret. Proh dolor, quidam tepidi et dissoluti moras confitendi accipiunt libenter, et Communionem sacram idcirco differre cupiunt, ne ad majorem sui custodiam se dare teneantur.	4. What profiteth it to put off for long time the confession of thy sins, or to defer Holy Communion? Cleanse thyself forthwith, spit out the poison with all speed, hasten to take the remedy, and thou shalt feel thyself better than if thou didst long defer it. If to-day thou defer it on one account, to-morrow perchance some greater obstacle will come, and so thou mayest be long time hindered from Communion and become more unfit. As soon as thou canst, shake thyself from thy present heaviness and sloth, for it profiteth nothing to be long anxious, to go long on thy way with heaviness of heart, and because of daily little obstacles to sever thyself from divine things: nay it is exceeding hurtful to defer thy Communion long, for this commonly bringeth on great torpor. Alas! there are some, lukewarm and undisciplined, who willingly find excuses for delaying repentance, and desire to defer Holy Communion, lest they should be bound to keep stricter watch upon themselves.
5. Heu, quam modicam charitatem, et debilem devotionem habent, qui sacram Communionem tam faciliter postponunt. Quam felix illle et Deo acceptus habetur, qui sic vivit, et tali puritate conscientiam suam custodit, ut etiam omni die communicare paratus et bene affectatus esset, si ei liceret, et sine nota agere posset. Si quis interdum abstinet humilitatis gratia, aut legitima impediente causa, laudandus est de reverentia. Si autem torpor obrepserit, seipsum excitare debet et facere quod in se est, et Dominus aderit desiderio suo pro bona voluntate, quam specialiter respicit.	5. Alas! how little charity, what flagging devotion, have they who so lightly put off Holy Communion. How happy is he, how acceptable to God, who so liveth, and in such purity of conscience keepeth himself, that any day he could be ready and well inclined to communicate, if it were in his power, and might be done without the notice of others. If a man sometimes abstaineth for the sake of humility or some sound cause, he is to be commended for his reverence. But if drowsiness have taken hold of him, he ought to rouse himself and to do what in him lieth; and the Lord will help his desire for the good will which he hath, which God specially approveth.
6. Cum vero legitime præpeditus est, habebit semper bonam voluntatem et piam intentionem communicandi: et sic non carebit fructu Sacramenti. Potest enim quilibet devotus omni die et omni hora ad spiritualem Christi Communionem salubriter et sine prohibitione accedere. Et tamen certes diebus statuto tempore Corpus sui Redemntoris cum affectuoso reverentia sacramentaliter debet suscipere et magis laudem Dei et honorem prætendere, quam suam consolationem quærere. Nam toties mystice communicat et invisibiliter, reficitur, quoties incarnationis Christi mysterium passionemque devote recolit, et in amorem ejus accenditur.	6. But when he is hindered by sufficient cause, yet will he ever have a good will and pious intention to communicate; and so he shall not be lacking in the fruit of the Sacrament. For any devout man is able every day and every hour to draw near to spiritual communion with Christ to his soul’s health and without hindrance. Nevertheless on certain days and at the appointed time he ought to receive the Body and Blood of his Redeemer with affectionate reverence, and rather to seek after the praise and honour of God, than his own comfort. For so often doth he communicate mystically, and is invisibly refreshed, as he devoutly calleth to mind the mystery of Christ’s incarnation and His Passion, and is inflamed with the love of Him.
7. Qui autem se non præparat aliter, nisi instante festo vel consuetudine compellente sæpius imparatus erit.  Beatus, qui se Domino in holocaustum offert, quoties celebrat, aut communicat. Non sis in celebrando nimis prolixus aut festinus; sed serva communem bonum modum eorum, cum quibus vivis. Non debes aliis generare molestiam et tædium, sed communem serva viam secundum amorem institutionum, et potius aliorum servire utilitati, quam propriæ devotini, vel affectui.	7. He who only prepareth himself when a festival is at hand or custom compelleth, will too often be unprepared. Blessed is he who offereth himself to God for a whole burnt-offering, so often as he celebrateth or communicateth! Be not too slow nor too hurried in thy celebrating, but preserve the good received custom of those with whom thou livest. Thou oughtest not to produce weariness and annoyance in others, but to observe the received custom, according to the institution of the elders; and to minister to the profit of others rather than to thine own devotion or feeling.
Cap. 11. Quod Corpus Christi, et sacra Scriptura sunt animæ fideli necessaria.	CHAPTER XI That the Body and Blood of Christ and the Holy Scriptures are most necessary to a faithful soul
